,x,y,time,ard
235,[62227 63217],[54468 15472],1510690003236,['2.5719' '3.0419' '2.5000' '3.0000\n']
236,[62413 63067],[53975 14783],1510690003249,['2.4400' '2.9441' '2.5000' '3.0000\n']
237,[62860 63019],[52649 14267],1510690003265,['2.3890' '2.9116' '2.5000' '3.0000\n']
238,[63000 63240],[13782 51365],1510690003265,['2.4600' '2.9872' '2.5000' '3.0000\n']
239,[63105 63391],[13335 51118],1510690003281,['2.5640' '3.0822' '2.5000' '3.0000\n']
240,[63150 63357],[12956 51668],1510690003282,['2.5703' '3.0834' '1.2000' '1.7000\n']
241,[63265 63270],[12739 51976],1510690003297,['2.4322' '2.9286' '1.2000' '1.7000\n']
242,[63281 63258],[12672 51454],1510690003313,['2.1576' '2.6295' '1.2000' '1.7000\n']
243,[63261 63431],[12709 50014],1510690003314,['1.8291' '2.3211' '1.2000' '1.7000\n']
244,[63180 63748],[12891 47254],1510690003329,['1.4933' '1.9742' '1.2000' '1.7000\n']
245,[63132 63996],[13231 44078],1510690003345,['1.1958' '1.6812' '1.2000' '1.7000\n']
246,[63088 64043],[13681 41492],1510690003346,['1.0132' '1.5153' '1.2000' '1.7000\n']
247,[63049 63971],[14168 40074],1510690003361,['0.9654' '1.4848' '1.2000' '1.7000\n']
248,[63057 63881],[14637 39790],1510690003362,['1.0040' '1.5247' '1.2000' '1.7000\n']
249,[63057 63849],[15112 40243],1510690003377,['1.0744' '1.5846' '1.2000' '1.7000\n']
250,[63074 63859],[15658 41088],1510690003395,['1.1405' '1.6367' '1.2000' '1.7000\n']
251,[63135 63868],[16303 42097],1510690003395,['1.1896' '1.6766' '1.2000' '1.7000\n']
252,[63201 63881],[17042 43208],1510690003411,['1.2171' '1.7012' '1.2000' '1.7000\n']
253,[63246 63900],[17888 44269],1510690003428,['1.2292' '1.7136' '1.2000' '1.7000\n']
254,[63255 63892],[18852 45314],1510690003431,['1.2292' '1.7167' '1.2000' '1.7000\n']
255,[63230 63877],[19874 46340],1510690003441,['1.2233' '1.7165' '1.2000' '1.7000\n']
256,[63212 63883],[20918 47350],1510690003442,['1.2138' '1.7136' '1.2000' '1.7000\n']
257,[63202 63873],[22051 48416],1510690003457,['1.2049' '1.7104' '1.2000' '1.7000\n']
258,[63185 63852],[23278 49565],1510690003473,['1.1987' '1.7088' '1.2000' '1.7000\n']
259,[63154 63815],[24602 50811],1510690003473,['1.1971' '1.7054' '1.2000' '1.7000\n']
260,[63121 63791],[26025 52143],1510690003489,['1.1971' '1.7041' '1.2000' '1.7000\n']
261,[63135 63777],[27533 53580],1510690003505,['1.1972' '1.7026' '1.2000' '1.7000\n']
262,[63159 63779],[29121 55114],1510690003506,['1.1984' '1.7011' '1.2000' '1.7000\n']
263,[63180 63787],[30795 56728],1510690003521,['1.1156' '1.6089' '1.2000' '1.7000\n']
264,[63188 63789],[32560 58423],1510690003522,['0.7308' '1.2901' '1.2000' '1.7000\n']
265,[63178 63829],[34411 59989],1510690003539,['0.3410' '0.9828' '1.2000' '1.7000\n']
266,[63106 63936],[36174 59930],1510690003553,['0.1047' '0.8496' '1.2000' '1.7000\n']
267,[63129 64113],[37607 60046],1510690003554,['0.2396' '0.9262' '1.2000' '1.7000\n']
268,[63084 64245],[38101 60084],1510690003569,['0.4745' '1.1210' '1.2000' '1.7000\n']
269,[62986 64166],[37794 59942],1510690003585,['0.6709' '1.2518' '1.2000' '1.7000\n']
270,[63046 63992],[37545 59937],1510690003585,['0.8303' '1.3572' '2.5000' '3.0000\n']
271,[63126 63957],[37087 59993],1510690003601,['0.9867' '1.4907' '2.5000' '3.0000\n']
272,[63121 63889],[36277 59924],1510690003601,['1.0989' '1.5938' '2.5000' '3.0000\n']
273,[63237 63877],[35785 60025],1510690003617,['1.2400' '1.7286' '2.5000' '3.0000\n']
274,[63236 63813],[35082 59961],1510690003633,['1.3738' '1.8639' '2.5000' '3.0000\n']
275,[63179 63789],[34237 59953],1510690003633,['1.5086' '1.9897' '2.5000' '3.0000\n']
276,[63140 63764],[33097 59955],1510690003649,['1.6297' '2.1125' '2.5000' '3.0000\n']
277,[63075 63758],[31838 59960],1510690003665,['1.7403' '2.2382' '2.5000' '3.0000\n']
278,[63119 63756],[30600 59960],1510690003665,['1.8552' '2.3751' '2.5000' '3.0000\n']
279,[63224 63765],[29448 59952],1510690003681,['1.9734' '2.5020' '2.5000' '3.0000\n']
280,[63267 63778],[28227 59949],1510690003681,['2.0990' '2.6367' '2.5000' '3.0000\n']
281,[63267 63801],[26885 59952],1510690003697,['2.2329' '2.7797' '2.5000' '3.0000\n']
282,[63223 63832],[25417 59962],1510690003713,['2.3723' '2.9146' '2.5000' '3.0000\n']
283,[63146 63869],[23918 59963],1510690003713,['2.5121' '3.0652' '2.5000' '3.0000\n']
