,x,y,time,ard
209,[50264 50581 61485],[50474 61035 61240],1509850217020,[ 0.0111  0.6378  2.5     3.    ]
210,[50266 50583 61485],[50473 61037 61241],1509850217036,[ 0.011   0.6378  1.2     1.7   ]
211,[50266 50592 61486],[50474 61042 61240],1509850217037,[ 0.0108  0.6378  1.2     1.7   ]
212,[50267 50582 61485],[50475 61034 61240],1509850217052,[ 0.0111  0.6378  1.2     1.7   ]
213,[50265 50592 61486],[50473 61041 61240],1509850217068,[ 0.0108  0.6378  1.2     1.7   ]
214,[50265 50591 61485],[50473 61043 61240],1509850217069,[ 0.0108  0.6378  1.2     1.7   ]
215,[50264 50581 61485],[50472 61037 61240],1509850217084,[ 0.0111  0.6378  1.2     1.7   ]
216,[50266 50591 61486],[50472 61042 61240],1509850217084,[ 0.0111  0.6378  1.2     1.7   ]
217,[50266 50581 61486],[50474 61037 61240],1509850217100,[ 0.0111  0.6378  1.2     1.7   ]
218,[50265 50590 61486],[50473 61042 61241],1509850217116,[ 0.0111  0.6378  1.2     1.7   ]
219,[50264 50582 61487],[50474 61036 61240],1509850217117,[ 0.0108  0.6378  1.2     1.7   ]
220,[50265 50583 61486],[50474 61035 61239],1509850217132,[ 0.0111  0.6378  1.2     1.7   ]
221,[50264 50591 61484],[50474 61042 61240],1509850217148,[ 0.0108  0.6378  1.2     1.7   ]
222,[50266 50581 61485],[50474 61036 61240],1509850217148,[ 0.0108  0.6378  1.2     1.7   ]
223,[50266 50584 61486],[50474 61035 61239],1509850217164,[ 0.0111  0.6381  1.2     1.7   ]
224,[50264 50581 61486],[50473 61036 61240],1509850217165,[ 0.0108  0.6378  1.2     1.7   ]
225,[50265 50583 61486],[50474 61036 61240],1509850217180,[ 0.0108  0.6378  1.2     1.7   ]
226,[50265 50591 61485],[50473 61041 61240],1509850217200,[ 0.0111  0.6378  1.2     1.7   ]
227,[50265 50580 61485],[50473 61036 61240],1509850217201,[ 0.0108  0.6378  1.2     1.7   ]
228,[50265 50582 61485],[50473 61034 61240],1509850217212,[ 0.0111  0.6381  1.2     1.7   ]
229,[50265 50583 61485],[50474 61036 61241],1509850217228,[ 0.0108  0.6378  1.2     1.7   ]
230,[50266 50584 61484],[50474 61036 61240],1509850217229,[ 0.0108  0.6378  1.2     1.7   ]
231,[50265 50585 61485],[50473 61036 61240],1509850217244,[ 0.0111  0.6378  1.2     1.7   ]
232,[50266 50591 61486],[50474 61041 61240],1509850217260,[ 0.0108  0.6381  1.2     1.7   ]
233,[50267 50581 61487],[50474 61035 61240],1509850217261,[ 0.0111  0.6382  1.2     1.7   ]
234,[50266 50584 61485],[50474 61036 61239],1509850217276,[ 0.0111  0.6381  1.2     1.7   ]
235,[50265 50581 61486],[50473 61035 61240],1509850217277,[ 0.0108  0.6382  1.2     1.7   ]
236,[50265 50580 61485],[50474 61036 61240],1509850217292,[ 0.0111  0.6378  1.2     1.7   ]
237,[50265 50582 61485],[50474 61037 61240],1509850217308,[ 0.0111  0.6378  1.2     1.7   ]
238,[50266 50593 61485],[50473 61042 61239],1509850217309,[ 0.0111  0.6381  1.2     1.7   ]
239,[50265 50589 61485],[50473 61042 61240],1509850217324,[ 0.0111  0.6381  1.2     1.7   ]
240,[50265 50582 61485],[50473 61035 61240],1509850217340,[ 0.0108  0.6382  1.2     1.7   ]
241,[50264 50581 61485],[50475 61038 61240],1509850217341,[ 0.0108  0.6382  1.2     1.7   ]
242,[50264 50583 61485],[50474 61034 61239],1509850217356,[ 0.0108  0.6378  1.2     1.7   ]
243,[50265 50584 61486],[50474 61036 61240],1509850217357,[ 0.0108  0.6381  1.2     1.7   ]
244,[50266 50582 61485],[50474 61036 61240],1509850217372,[ 0.0111  0.6378  1.2     1.7   ]
245,[50265 50582 61484],[50475 61036 61240],1509850217388,[ 0.0111  0.6382  1.2     1.7   ]
246,[50265 50580 61485],[50474 61035 61240],1509850217389,[ 0.0108  0.6378  1.2     1.7   ]
247,[50265 50591 61486],[50473 61042 61240],1509850217404,[ 0.0108  0.6378  1.2     1.7   ]
248,[50265 50581 61486],[50473 61035 61240],1509850217422,[ 0.0111  0.6382  1.2     1.7   ]
249,[50266 50582 61480],[50473 61035 61238],1509850217423,[ 0.0111  0.6378  1.2     1.7   ]
250,[50266 50591 61486],[50474 61043 61240],1509850217436,[ 0.0108  0.6378  1.2     1.7   ]
251,[50265 50583 61486],[50474 61035 61240],1509850217437,[ 0.0111  0.6378  1.2     1.7   ]
252,[50266 50583 61486],[50473 61035 61240],1509850217452,[ 0.0111  0.6378  1.2     1.7   ]
253,[50265 50581 61484],[50473 61034 61239],1509850217468,[ 0.0111  0.6378  1.2     1.7   ]
254,[50266 50583 61485],[50474 61034 61240],1509850217469,[ 0.0111  0.6382  1.2     1.7   ]
