,x,y,time
194,[64273 64653 76712],[67659 55021 68317],1509232142790
195,[64273 64652 76711],[67659 55021 68318],1509232142800
196,[64273 64652 76710],[67659 55021 68319],1509232142810
197,[64274 64652 76710],[67659 55021 68318],1509232142820
198,[64273 64653 76711],[67659 55021 68318],1509232142830
199,[64274 64652 76710],[67659 55021 68318],1509232142840
200,[64272 64653 76711],[67659 55021 68318],1509232142850
201,[64273 64652 76709],[67659 55021 68318],1509232142860
202,[64273 64652 76712],[67660 55021 68318],1509232142871
203,[64272 64653 76711],[67659 55021 68318],1509232142880
204,[64273 64652 76710],[67659 55021 68317],1509232142890
205,[64271 64652 76710],[67659 55021 68318],1509232142900
206,[64275 64652 76709],[67659 55021 68319],1509232142910
207,[64273 64652 76711],[67660 55021 68318],1509232142920
208,[64272 64652 76709],[67659 55021 68319],1509232142930
209,[64273 64651 76708],[67660 55021 68319],1509232142940
210,[64273 64652 76711],[67660 55022 68319],1509232142950
211,[64272 64652 76711],[67659 55021 68319],1509232142960
212,[64272 64652 76710],[67660 55022 68318],1509232142970
213,[64273 64652 76711],[67660 55022 68319],1509232142980
214,[64275 64652 76710],[67659 55022 68318],1509232142990
215,[64273 64652 76710],[67660 55021 68318],1509232143000
216,[64273 64651 76709],[67659 55022 68318],1509232143010
217,[64272 64652 76711],[67660 55021 68318],1509232143020
218,[64272 64651 76709],[67660 55021 68319],1509232143030
219,[64275 64651 76710],[67659 55021 68318],1509232143040
220,[64272 64652 76709],[67660 55021 68319],1509232143050
221,[64273 64651 76712],[67660 55021 68318],1509232143060
222,[64273 64652 76711],[67660 55021 68318],1509232143070
223,[64272 64652 76710],[67659 55021 68318],1509232143080
224,[64272 64653 76711],[67659 55021 68319],1509232143090
225,[64272 64652 76710],[67660 55022 68318],1509232143101
226,[64273 64652 76710],[67660 55022 68318],1509232143110
227,[64273 64652 76711],[67660 55022 68319],1509232143120
228,[64273 64652 76711],[67659 55021 68318],1509232143130
229,[64272 64652 76710],[67659 55021 68318],1509232143140
230,[64272 64651 76711],[67660 55021 68319],1509232143151
231,[64273 64652 76709],[67659 55021 68318],1509232143161
232,[64272 64651 76711],[67661 55021 68318],1509232143170
233,[64273 64653 76710],[67660 55021 68319],1509232143180
234,[64274 64652 76711],[67659 55021 68318],1509232143190
235,[64272 64653 76710],[67660 55021 68318],1509232143200
236,[64273 64652 76711],[67659 55021 68319],1509232143211
237,[64273 64652 76710],[67659 55021 68319],1509232143220
238,[64273 64652 76710],[67659 55021 68319],1509232143230
239,[64273 64653 76710],[67659 55021 68318],1509232143240
240,[64272 64652 76709],[67659 55021 68319],1509232143250
241,[64273 64652 76712],[67660 55022 68317],1509232143261
242,[64273 64652 76711],[67660 55021 68319],1509232143271
243,[64273 64653 76710],[67659 55021 68319],1509232143280
244,[64273 64652 76710],[67659 55022 68318],1509232143290
245,[64274 64653 76711],[67659 55022 68318],1509232143300
246,[64271 64652 76711],[67660 55021 68318],1509232143310
247,[64273 64651 76711],[67659 55021 68318],1509232143320
248,[64272 64652 76711],[67660 55022 68319],1509232143331
249,[64273 64651 76711],[67659 55021 68318],1509232143341
250,[64272 64652 76710],[67660 55021 68319],1509232143350
251,[64272 64652 76710],[67660 55021 68319],1509232143360
252,[64273 64653 76711],[67659 55021 68319],1509232143382
253,[64272 64652 76710],[67660 55021 68319],1509232143384
254,[64273 64652 76711],[67659 55021 68318],1509232143391
255,[64273 64653 76710],[67660 55021 68318],1509232143404
256,[64273 64653 76711],[67660 55021 68319],1509232143410
