,x,y,time
266,[61353 73534 74012 85657],[29351 14569 53252 29494],1509129413830
267,[61337 73510 73800 85512],[29368 15407 53435 29736],1509129413840
268,[61427 73420 73709 85381],[29741 16387 53900 30180],1509129413850
269,[61447 73366 73680 85273],[30476 17465 54611 30868],1509129413860
270,[61431 73312 73674 85189],[31421 18581 55538 31731],1509129413870
271,[61488 73282 73654 85145],[32442 19759 56580 32735],1509129413880
272,[61516 73268 73619 85097],[33487 21056 57689 33833],1509129413891
273,[61574 73257 73620 85074],[34653 22489 58921 35055],1509129413901
274,[61653 73258 73670 85043],[35982 24040 60302 36388],1509129413912
275,[61707 73249 73709 84973],[37518 25708 61808 37873],1509129413921
276,[61666 73208 73674 84861],[39160 27500 63446 39508],1509129413931
277,[61616 73148 73564 84770],[40893 29401 65219 41315],1509129413940
278,[61574 73071 73403 84688],[42705 31373 67045 43227],1509129413950
279,[61517 72989 73279 84587],[44597 33403 68969 45214],1509129413960
280,[62586 73489 72896 73360 83298],[44193 67530 35393 69070 44545],1509129413970
281,[64110 72750 73587 81338],[43847 37152 69193 43681],1509129413980
282,[66526 72781 73740],[43108 38226 69184],1509129413990
283,[67268 72687 73815],[42844 38594 69185],1509129414000
284,[66500 72683 73727],[43055 38240 69140],1509129414010
285,[65107 72808 73619 80014],[43395 37575 69117 43026],1509129414020
286,[64228 73709 72925 73485 81491],[43549 67473 36804 69010 43488],1509129414030
287,[63573 72939 73444 82420],[43745 36150 68968 43827],1509129414040
288,[63186 72929 73445 82845],[43799 35660 68834 43913],1509129414051
289,[62955 72937 73442 82987],[43721 35320 68663 43829],1509129414060
290,[62786 72921 73393 83093],[43676 35104 68572 43832],1509129414070
291,[62580 72865 73317 83239],[43771 35004 68640 44016],1509129414080
292,[62367 72842 73219 83393],[44007 35005 68840 44349],1509129414090
293,[62204 72809 73152 83502],[44243 35113 69023 44683],1509129414100
294,[62412 72820 73164 83316],[44123 35282 68990 44518],1509129414110
295,[62593 72845 73196 83222],[44091 35504 69039 44490],1509129414120
296,[62858 72871 73223 83073],[43988 35709 69057 44397],1509129414130
297,[63104 72884 73240 82960],[43897 35864 69059 44313],1509129414140
298,[63235 73429 72889 73247 82804],[43854 67529 35995 69067 44235],1509129414150
299,[63272 73432 72835 73250 82646],[43847 67547 36099 69061 44159],1509129414160
300,[63268 73427 72814 73247 82574],[43850 67528 36132 69058 44127],1509129414170
301,[63248 72826 73253 82616],[43847 36085 69069 44141],1509129414180
302,[63232 72842 73243 82736],[43847 36019 69050 44190],1509129414190
303,[63197 73422 72881 73241 82835],[43853 67503 35952 69046 44233],1509129414200
304,[63140 72872 73238 82864],[43875 35916 69048 44258],1509129414210
305,[63075 72851 73244 82883],[43898 35877 69060 44272],1509129414220
306,[63039 73399 72843 73231 82913],[43909 67477 35839 69046 44282],1509129414230
307,[63044 72855 73230 82937],[43906 35824 69047 44296],1509129414240
308,[63062 72868 73234 82946],[43901 35835 69047 44303],1509129414250
309,[63074 72865 73235 82927],[43898 35855 69047 44292],1509129414260
