,x,y,time
297,[68881 74621 76573 82874],[37266 64716 11708 37942],1509230778880
298,[69094 74915 76445 82697],[37137 64529 11271 37558],1509230778890
299,[67806 75720 76367 84352],[35897 62700 11098 36229],1509230778900
300,[65743 76436 76759 86952],[33215 11226 58831 33448],1509230778910
301,[64526 76471 77650 88592],[30043 11427 54642 29979],1509230778921
302,[64346 76513 78286 89000],[27371 11660 51524 26811],1509230778930
303,[64621 76546 78700 88809],[25960 11916 50031 24957],1509230778940
304,[64750 76573 78823 88672],[25798 12253 49838 24629],1509230778950
305,[64684 76498 78589 88648],[26270 12691 50325 25220],1509230778960
306,[64618 76438 78122 88658],[26735 13229 51027 26132],1509230778970
307,[64650 76379 77639 88610],[27105 13887 51706 26950],1509230778980
308,[64663 76326 77295 88513],[27440 14697 52273 27632],1509230778990
309,[64764 76300 77125 88386],[27904 15675 52881 28265],1509230779000
310,[64852 76259 77042 88278],[28560 16728 53607 28993],1509230779011
311,[64883 76241 77008 88219],[29402 17777 54511 29856],1509230779020
312,[64920 76222 77011 88186],[30440 18927 55584 30888],1509230779030
313,[64930 76205 77040 88183],[31632 20213 56797 32071],1509230779040
314,[64998 76189 77082 88196],[32975 21636 58147 33404],1509230779050
315,[64972 76206 77085 88156],[34441 23192 59612 34868],1509230779060
316,[64920 76159 77002 88070],[35988 24867 61188 36460],1509230779070
317,[64871 76097 76902 87981],[37638 26648 62870 38176],1509230779081
318,[64823 76013 76808 87886],[39405 28510 64644 39997],1509230779091
319,[64747 75931 76741 87798],[41275 30445 66499 41920],1509230779100
320,[64649 75840 76674 87698],[43272 32505 68470 43913],1509230779110
321,[65322 75733 76696 86810],[43600 34637 69114 44071],1509230779120
322,[67063 75651 76841 84635],[43095 36473 69258 42998],1509230779130
323,[69844 75583 76992],[42288 37752 69318],1509230779140
324,[70245 75651 77054],[42245 38131 69361],1509230779150
325,[69439 75450 76934],[42280 37530 69207],1509230779161
326,[67912 75716 76853 83384],[42698 36909 69175 42342],1509230779170
327,[66944 75649 76785 84784],[42926 36133 69080 42837],1509230779180
