,x,y,time
213,[66115 75693 76789 86158],[42598 34732 68621 42885],1509232339257
214,[66116 75693 76791 86157],[42598 34735 68620 42883],1509232339267
215,[66115 75693 76794 86156],[42598 34734 68618 42883],1509232339277
216,[66120 75692 76789 86156],[42593 34733 68617 42881],1509232339287
217,[66117 75693 76788 86157],[42598 34735 68620 42883],1509232339297
218,[66113 75691 76792 86156],[42599 34735 68620 42883],1509232339308
219,[66112 75690 76787 86155],[42599 34733 68622 42882],1509232339317
220,[66113 75691 76792 86157],[42598 34731 68619 42882],1509232339328
221,[66115 75695 76789 86160],[42599 34731 68620 42885],1509232339338
222,[66113 75693 76790 86160],[42599 34731 68620 42885],1509232339347
223,[66110 75690 76789 86159],[42599 34729 68620 42884],1509232339357
224,[66111 75691 76787 86158],[42600 34729 68621 42884],1509232339367
225,[66113 75693 76791 86162],[42598 34730 68619 42886],1509232339377
226,[66110 75691 76790 86160],[42600 34730 68620 42886],1509232339387
227,[66109 75689 76791 86158],[42600 34731 68620 42885],1509232339397
228,[66110 75691 76791 86158],[42599 34730 68619 42884],1509232339408
229,[66113 75694 76790 86161],[42599 34731 68619 42885],1509232339417
230,[66114 75694 76790 86161],[42599 34731 68619 42885],1509232339427
231,[66112 75692 76789 86158],[42598 34731 68620 42883],1509232339437
232,[66111 75692 76791 86159],[42599 34730 68620 42884],1509232339447
233,[66112 75691 76793 86158],[42600 34731 68619 42884],1509232339457
234,[66112 75692 76789 86159],[42598 34731 68621 42884],1509232339467
235,[66111 75691 76790 86159],[42599 34730 68619 42883],1509232339477
236,[66111 75692 76791 86159],[42599 34730 68619 42884],1509232339487
237,[66113 75693 76791 86159],[42598 34731 68620 42885],1509232339497
238,[66112 75694 76791 86161],[42599 34730 68619 42886],1509232339507
239,[66112 75692 76790 86160],[42599 34730 68619 42886],1509232339517
240,[66110 75692 76789 86159],[42599 34730 68619 42884],1509232339529
241,[66109 75691 76793 86160],[42601 34730 68619 42884],1509232339537
242,[66108 75692 76791 86162],[42601 34729 68620 42884],1509232339547
243,[66109 75691 76790 86162],[42600 34729 68620 42886],1509232339557
244,[66110 75693 76789 86161],[42600 34731 68621 42885],1509232339567
245,[66111 75692 76790 86160],[42600 34731 68619 42885],1509232339577
246,[66113 75693 76792 86159],[42598 34731 68618 42885],1509232339587
247,[66113 75692 76789 86159],[42599 34731 68620 42886],1509232339597
248,[66118 75691 76786 86159],[42594 34732 68618 42884],1509232339607
249,[66115 75692 76791 86157],[42599 34734 68619 42884],1509232339617
250,[66113 75692 76790 86156],[42598 34734 68621 42882],1509232339627
251,[66112 75690 76789 86156],[42599 34733 68620 42883],1509232339637
252,[66116 75692 76789 86158],[42598 34733 68619 42883],1509232339647
253,[66115 75693 76789 86160],[42598 34731 68620 42884],1509232339657
254,[66112 75692 76787 86159],[42598 34731 68621 42884],1509232339667
255,[66113 75692 76789 86159],[42597 34731 68620 42883],1509232339677
256,[66114 75692 76789 86157],[42597 34732 68620 42884],1509232339687
257,[66114 75692 76787 86157],[42597 34732 68621 42882],1509232339697
258,[66111 75691 76788 86158],[42598 34732 68621 42883],1509232339707
259,[66111 75691 76790 86159],[42597 34731 68620 42884],1509232339717
260,[66113 75692 76788 86158],[42598 34731 68620 42884],1509232339727
261,[66113 75693 76792 86160],[42598 34730 68618 42884],1509232339737
262,[66113 75693 76790 86158],[42598 34730 68620 42884],1509232339747
263,[66113 75692 76789 86158],[42598 34731 68620 42884],1509232339757
264,[66112 75692 76792 86159],[42598 34731 68620 42884],1509232339767
265,[66112 75692 76791 86159],[42598 34731 68619 42884],1509232339777
266,[66112 75691 76790 86158],[42598 34730 68619 42884],1509232339787
267,[66112 75691 76791 86158],[42599 34731 68619 42884],1509232339797
268,[66113 75692 76790 86159],[42598 34731 68620 42884],1509232339807
