,x,y,time
176,[64345 75827 76638 88195],[43367 31821 68630 44300],1509232254301
177,[64075 75896 76627 88452],[43477 30819 68621 44491],1509232254311
178,[63909 75914 76618 88590],[43554 29786 68614 44606],1509232254321
179,[63824 75938 76612 88613],[43592 28694 68609 44632],1509232254331
180,[63857 75969 76614 88552],[43574 27517 68609 44581],1509232254341
181,[63990 76046 76620 88407],[43500 26286 68612 44459],1509232254351
182,[64225 76080 76629 88177],[43388 25059 68616 44275],1509232254361
183,[64552 76120 76644 87840],[43243 23822 68622 44026],1509232254371
184,[64979 76134 76662 87417],[43059 22537 68633 43724],1509232254381
185,[65546 76171 76684 86893],[42825 21172 68651 43368],1509232254391
186,[66283 76244 76709 86256],[42533 19759 68663 42953],1509232254401
187,[67178 76301 76734 85479],[42204 18335 68667 42486],1509232254412
188,[68235 76332 76754 84546],[41836 16922 68654 41971],1509232254422
189,[69369 76369 76785 83534],[41490 15574 68576 41412],1509232254431
190,[69821 76432 76617 83151],[40598 14409 67855 40545],1509232254441
191,[69040 76309 76515 83846],[39014 66149 13443 39180],1509232254451
192,[68090 75795 76582 84603],[37227 64292 12623 37830],1509232254461
193,[68009 75218 76631 84396],[36401 63606 11864 37239],1509232254472
194,[68741 74787 76608 83409],[36428 63923 11174 37192],1509232254482
195,[69368 74819 76549 82676],[36538 64103 10625 37025],1509232254491
196,[68992 75264 76403 83210],[35963 63336 10283 36322],1509232254501
197,[67189 76082 76423 85401],[34132 60733 10208 34504],1509232254511
198,[65296 76455 77045 87829],[31075 10348 56488 31315],1509232254521
199,[64419 76522 77838 89079],[27424 10588 52014 27343],1509232254531
200,[64913 76587 78289 88824],[24024 10901 48628 23493],1509232254541
201,[66009 76624 78479 87712],[21804 11251 46865 20919],1509232254551
202,[66524 76579 78429 86942],[21249 11630 46535 20177],1509232254561
203,[66333 76437 78190 86953],[21801 12083 47059 20799],1509232254571
204,[65958 76379 77852 87351],[22765 12625 48010 22119],1509232254581
205,[65685 76363 77503 87805],[23865 13303 49181 23708],1509232254591
206,[65503 76368 77198 88136],[25034 14128 50421 25274],1509232254602
207,[65398 76379 77017 88308],[26191 15065 51620 26700],1509232254611
208,[65320 76378 76939 88387],[27316 16065 52764 27969],1509232254621
209,[65277 76352 76936 88395],[28441 17169 53887 29107],1509232254631
210,[65270 76331 76962 88356],[29604 18417 55051 30226],1509232254641
211,[65241 76304 76988 88297],[30855 19790 56304 31437],1509232254651
212,[65210 76277 77015 88234],[32238 21284 57678 32781],1509232254661
213,[65166 76208 77016 88168],[33772 22885 59218 34301],1509232254671
214,[65085 76122 76981 88078],[35459 24598 60893 35969],1509232254681
215,[64992 76042 76922 87974],[37268 26431 62666 37778],1509232254691
216,[64889 75949 76831 87871],[39149 28393 64535 39706],1509232254701
217,[64793 75856 76722 87756],[41138 30489 66525 41745],1509232254711
218,[64701 75762 76596 87648],[43226 32715 68618 43895],1509232254722
219,[66148 75622 76685 85905],[42607 34850 68624 42834],1509232254731
220,[68264 75625 76831 83246],[42102 36625 68786 41794],1509232254741
221,[75612 76944],[37571 68825],1509232254751
222,[75580 76967],[37686 68801],1509232254761
223,[70429 75496 76854],[41316 37306 68712],1509232254771
224,[68734 75581 76814 82262],[41857 36823 68710 41362],1509232254781
225,[67570 75642 76752 84128],[42126 35965 68643 41946],1509232254792
226,[66727 75704 76721 85557],[42379 35149 68627 42556],1509232254801
227,[66190 75849 76687 86422],[42532 34537 68593 42989],1509232254811
228,[65730 75846 76660 86863],[42711 34113 68572 43281],1509232254821
229,[65405 75855 76642 87111],[42838 33767 68549 43442],1509232254831
230,[65152 75833 76632 87320],[42918 33398 68535 43568],1509232254841
231,[64974 75808 76632 87471],[42972 33091 68533 43646],1509232254851
232,[64925 75788 76630 87557],[42982 32941 68537 43688],1509232254861
233,[64975 75817 76629 87588],[42969 32989 68544 43720],1509232254871
234,[65066 75860 76634 87513],[42950 33173 68551 43698],1509232254882
235,[65206 75882 76640 87385],[42912 33427 68562 43626],1509232254891
236,[65379 75875 76647 87220],[42847 33695 68571 43522],1509232254901
237,[65572 75859 76657 87027],[42772 33939 68588 43397],1509232254918
238,[65786 75823 76666 86783],[42692 34186 68606 43243],1509232254921
239,[65994 75751 76678 86456],[42619 34451 68621 43057],1509232254931
240,[66228 75696 76686 86096],[42548 34767 68631 42876],1509232254941
241,[66476 75706 76701 85784],[42469 35042 68638 42723],1509232254953
242,[66650 75719 76700 85561],[42408 35203 68647 42606],1509232254962
243,[66743 75707 76708 85436],[42371 35257 68647 42533],1509232254972
244,[66794 75685 76709 85458],[42353 35246 68650 42531],1509232254981
245,[66796 75734 76708 85533],[42347 35220 68646 42560],1509232254991
246,[66723 75740 76706 85617],[42370 35183 68639 42606],1509232255001
247,[66596 75726 76702 85726],[42411 35084 68632 42665],1509232255011
248,[66453 75715 76698 85868],[42457 34951 68628 42734],1509232255021
249,[66345 75722 76691 86013],[42492 34829 68623 42805],1509232255031
250,[66258 75740 76687 86139],[42522 34752 68619 42876],1509232255041
251,[66178 75754 76684 86238],[42551 34678 68617 42935],1509232255051
252,[66109 75757 76682 86313],[42572 34599 68611 42970],1509232255061
253,[66049 75745 76681 86367],[42593 34535 68612 43002],1509232255071
254,[66029 75743 76681 86398],[42603 34509 68610 43021],1509232255081
255,[66029 75750 76682 86402],[42605 34519 68610 43029],1509232255091
256,[66035 75751 76681 86394],[42603 34530 68612 43025],1509232255101
257,[66045 75746 76678 86378],[42600 34535 68615 43014],1509232255111
258,[66065 75743 76682 86354],[42593 34555 68617 43001],1509232255122
259,[66096 75741 76683 86322],[42584 34592 68616 42984],1509232255131
260,[66116 75744 76687 86285],[42577 34624 68616 42966],1509232255141
261,[66139 75736 76685 86258],[42569 34640 68619 42948],1509232255151
262,[66163 75734 76685 86235],[42560 34658 68621 42937],1509232255161
263,[66182 75736 76687 86219],[42554 34681 68620 42928],1509232255171
264,[66193 75738 76687 86207],[42550 34693 68621 42923],1509232255181
265,[66192 75739 76689 86207],[42549 34692 68620 42921],1509232255191
266,[66187 75736 76688 86214],[42550 34684 68620 42924],1509232255201
267,[66182 75737 76685 86219],[42552 34678 68621 42926],1509232255211
268,[66176 75738 76685 86222],[42555 34676 68621 42930],1509232255221
269,[66169 75734 76683 86225],[42557 34668 68620 42931],1509232255231
270,[66169 75735 76684 86229],[42556 34665 68620 42931],1509232255241
271,[66172 75741 76688 86231],[42555 34668 68618 42932],1509232255252
272,[66176 75740 76685 86227],[42554 34674 68620 42933],1509232255261
273,[66175 75738 76684 86223],[42555 34674 68620 42930],1509232255271
274,[66174 75736 76687 86222],[42555 34672 68620 42929],1509232255282
275,[66175 75736 76685 86222],[42555 34674 68621 42929],1509232255292
276,[66175 75738 76686 86222],[42555 34675 68619 42930],1509232255301
277,[66175 75738 76686 86225],[42555 34673 68620 42930],1509232255312
278,[66176 75739 76688 86226],[42553 34672 68620 42931],1509232255321
279,[66176 75739 76686 86223],[42554 34675 68620 42931],1509232255331
280,[66176 75739 76686 86222],[42554 34675 68619 42930],1509232255341
281,[66174 75738 76687 86224],[42555 34673 68619 42930],1509232255351
282,[66173 75736 76682 86225],[42555 34672 68621 42930],1509232255361
283,[66173 75740 76686 86224],[42557 34674 68620 42931],1509232255371
284,[66175 75738 76685 86224],[42555 34672 68620 42929],1509232255381
285,[66177 75739 76686 86225],[42554 34672 68620 42930],1509232255391
286,[66175 75739 76684 86224],[42554 34673 68621 42931],1509232255401
287,[66174 75738 76685 86223],[42555 34672 68620 42929],1509232255411
288,[66174 75739 76684 86223],[42555 34673 68620 42930],1509232255421
289,[66175 75739 76687 86224],[42555 34673 68619 42930],1509232255431
290,[66176 75739 76686 86225],[42555 34672 68620 42931],1509232255441
291,[66175 75739 76686 86224],[42555 34672 68620 42931],1509232255451
292,[66173 75739 76685 86224],[42556 34674 68620 42929],1509232255461
293,[66174 75737 76684 86224],[42555 34672 68620 42930],1509232255471
294,[66175 75739 76683 86226],[42554 34672 68621 42931],1509232255481
295,[66175 75737 76688 86224],[42555 34673 68619 42930],1509232255491
296,[66174 75737 76684 86223],[42555 34672 68621 42931],1509232255502
297,[66174 75737 76685 86225],[42554 34671 68620 42930],1509232255511
298,[66176 75738 76686 86227],[42553 34672 68619 42931],1509232255521
299,[66176 75740 76688 86223],[42554 34674 68619 42930],1509232255531
300,[66173 75738 76685 86223],[42555 34672 68620 42930],1509232255541
301,[66174 75739 76683 86223],[42555 34674 68621 42930],1509232255551
302,[66175 75738 76685 86223],[42554 34673 68619 42930],1509232255561
303,[66176 75738 76684 86224],[42554 34673 68621 42931],1509232255571
304,[66174 75737 76687 86224],[42555 34672 68619 42930],1509232255581
305,[66174 75740 76686 86223],[42555 34674 68620 42929],1509232255591
306,[66176 75742 76682 86224],[42554 34675 68622 42930],1509232255601
307,[66176 75738 76685 86224],[42554 34674 68620 42930],1509232255611
308,[66174 75736 76685 86223],[42555 34673 68621 42930],1509232255621
309,[66173 75737 76684 86222],[42555 34673 68621 42930],1509232255631
310,[66174 75740 76687 86224],[42555 34673 68620 42931],1509232255641
311,[66176 75741 76685 86226],[42555 34673 68620 42930],1509232255651
312,[66175 75739 76684 86224],[42555 34672 68620 42931],1509232255661
313,[66174 75738 76684 86223],[42555 34673 68620 42930],1509232255672
314,[66174 75738 76687 86224],[42555 34673 68620 42930],1509232255681
315,[66175 75737 76687 86223],[42554 34673 68619 42930],1509232255691
